ticker,sales,purchases,net_activity
AAL,2,1,-1
AAM-PA,1,0,-1
AAPL,3,1,-2
ACN,0,3,3
ADBE,1,0,-1
ADI,0,1,1
AEE,0,1,1
AFG,1,0,-1
AFL,1,0,-1
AMAT,0,1,1
AMGN,0,1,1
AMZN,0,1,1
AOS,1,0,-1
APD,0,1,1
APP,0,1,1
ASML,1,0,-1
AVGO,0,4,4
AXP,1,1,0
AXTA,1,0,-1
BAC,3,4,1
BAX,5,0,-5
BK,0,1,1
BLK,0,1,1
BMY,0,1,1
BOOT,1,0,-1
BOTA,0,1,1
BR,1,0,-1
BRK-A,2,0,-2
BRK.B,2,1,-1
BSCV,0,1,1
BSX,2,0,-2
BX,1,0,-1
CAG,1,0,-1
CAT,0,2,2
CDNS,0,2,2
CDRE,0,1,1
CEC,1,0,-1
CEG,0,1,1
CHTR,0,1,1
CMCSA,1,0,-1
CNC,1,2,1
COF,1,0,-1
COIN,0,1,1
CPAY,1,0,-1
CSCO,1,0,-1
CSGP,0,3,3
CTSH,1,0,-1
CVX,0,1,1
DAY,0,1,1
DDOG,0,1,1
DIS,2,1,-1
DOX,1,0,-1
EA,1,0,-1
EL,0,1,1
ELAN,2,0,-2
ENSG,0,1,1
EPAM,0,1,1
EQR,1,0,-1
FLL,2,0,-2
FWONK,1,0,-1
GDDY,1,0,-1
GOOG,1,0,-1
GTLS,1,0,-1
HD,1,0,-1
HQY,1,0,-1
IBM,0,1,1
JNJ,1,0,-1
JPM,1,0,-1
KVUE,1,0,-1
LLY,1,0,-1
MCD,1,0,-1
META,0,1,1
MMM,0,1,1
MRK,1,1,0
MSFT,1,0,-1
MU,1,0,-1
NEE,1,0,-1
NFLX,0,1,1
NOW,1,0,-1
NXPI,0,1,1
PEP,1,0,-1
PG,1,0,-1
PLTR,1,0,-1
PPBI,1,0,-1
PTC,0,1,1
RBC,1,0,-1
RVTY,0,1,1
SBCF,0,1,1
SKY,0,1,1
SWTX,1,0,-1
TBLL,0,1,1
UNH,1,0,-1
UPS,1,0,-1
V,1,0,-1
VCYT,0,1,1
WMT,1,0,-1
WTW,1,0,-1
XIACF,0,1,1
XONE,0,1,1
