ticker,purchases
CALC,1
DLPN,1
ETST,1
FSCO,1
GF,1
KYN,1
LRHC,2
MRAI,1
NEGG,3
NHS,1
RCG,5
RFMZ,2
SHEN,4
TOFB,2
