ticker,sales,purchases,net_activity
AAL,2,1,-1
AAM-PA,1,0,-1
AAPL,2,1,-1
ACN,0,3,3
ADBE,1,0,-1
ADI,0,1,1
AEE,0,1,1
AFG,1,0,-1
AFL,1,0,-1
AMAT,0,1,1
AMGN,0,1,1
AMZN,0,1,1
AOS,1,0,-1
APD,0,1,1
APP,0,1,1
ASML,1,0,-1
AVGO,0,4,4
AXP,1,1,0
AXTA,1,0,-1
BAC,3,4,1
BAX,5,0,-5
BK,0,1,1
BLK,0,1,1
BMY,0,1,1
BOOT,1,0,-1
BOTA,0,1,1
BR,1,0,-1
BRK-A,2,0,-2
BRK.B,1,1,0
BSX,2,0,-2
BX,1,0,-1
CAG,1,0,-1
CAT,0,2,2
CDNS,0,2,2
CDRE,0,1,1
CEC,1,0,-1
CEG,0,1,1
CHTR,0,1,1
CMCSA,1,0,-1
CNC,1,2,1
COF,1,0,-1
COIN,0,1,1
CPAY,1,0,-1
CSGP,0,3,3
CTSH,1,0,-1
CVX,0,1,1
DAY,0,1,1
DDOG,0,1,1
DIS,2,1,-1
DOX,1,0,-1
EA,1,0,-1
EL,0,1,1
ELAN,2,0,-2
ENSG,0,1,1
EPAM,0,1,1
EQR,1,0,-1
FERG,1,0,-1
FLL,2,0,-2
FTV,1,0,-1
FWONK,1,0,-1
GDDY,1,0,-1
GIS,0,2,2
GL,1,0,-1
GLW,0,1,1
GOOG,2,0,-2
GOOGL,0,1,1
GPC,1,0,-1
GPK,1,4,3
GPN,0,1,1
GRMN,0,1,1
GTLS,1,0,-1
HCKT,0,1,1
HD,2,1,-1
HLMEX,1,0,-1
HOLX,1,0,-1
HPQ,0,1,1
HQY,1,0,-1
HUM,1,0,-1
META,0,1,1
MU,1,0,-1
NEE,1,0,-1
NFLX,0,1,1
NOW,1,0,-1
NXPI,0,1,1
PPBI,1,0,-1
PTC,0,1,1
RBC,1,0,-1
RVTY,0,1,1
SBCF,0,1,1
SKY,0,1,1
SWTX,1,0,-1
TBLL,0,1,1
UNH,1,0,-1
VCYT,0,1,1
WTW,1,0,-1
XIACF,0,1,1
