ticker,sales,purchases,net_activity
AAPL,1,12,11
ACN,0,1,1
ADI,1,0,-1
AMGN,0,1,1
AMZN,0,7,7
APD,0,1,1
BMY,1,0,-1
BRK.B,1,0,-1
C,1,0,-1
CB,0,1,1
CI,0,2,2
CLH,1,0,-1
CMCSA,0,1,1
CMG,0,1,1
COST,0,1,1
CRM,0,1,1
CSCO,0,1,1
EFC,0,1,1
ET,1,0,-1
FBKWX,0,1,1
FNSXX,1,0,-1
GD,0,1,1
GLA,0,1,1
GLAS,0,2,2
GOOG,1,3,2
GOOGL,1,0,-1
HCA,0,2,2
HD,0,1,1
INTC,1,0,-1
ITW,0,1,1
JNJ,0,1,1
JPM,1,2,1
LMT,0,1,1
LSYIX,0,1,1
MCD,0,2,2
META,0,1,1
MKL,0,1,1
MRK,0,1,1
MSFT,2,4,2
NGD,0,1,1
NVDA,0,11,11
PAYX,0,1,1
PEP,0,1,1
PFE,1,0,-1
PG,0,1,1
PLTR,0,2,2
QQQM,0,1,1
SBUX,1,1,0
SDVY,0,1,1
SMCWX,1,0,-1
STE,1,0,-1
SYMBOL,1,0,-1
T,0,1,1
TECH,1,0,-1
TSCO,0,1,1
TSM,0,1,1
UNH,4,1,-3
UPS,0,1,1
V,0,1,1
WFC,1,0,-1
WMT,1,1,0
XOM,1,0,-1
