ticker,sales,purchases,net_activity
ASAN,0,2,2
BRDG,15,0,-15
CRCT,3,0,-3
CVNA,7,0,-7
DRCT,6,0,-6
ELVN,2,0,-2
EVCM,2,0,-2
GTX,2,0,-2
HOOK,2,0,-2
IONQ,1,0,-1
IOT,2,0,-2
MCRI,2,0,-2
MERC,0,1,1
META,1,0,-1
MTUS,3,0,-3
NEE,1,0,-1
NVDA,14,0,-14
OKTA,2,0,-2
OPEN,1,0,-1
PCOR,2,0,-2
PTGX,3,0,-3
PUBM,1,0,-1
QLYS,2,0,-2
RIOT,1,0,-1
ROIV,1,0,-1
SMPL,0,1,1
SRE,1,0,-1
TBN,0,1,1
TRAK,3,0,-3
TTAN,6,0,-6
W,6,0,-6
XYZ,2,0,-2
YELP,1,0,-1
